,Alpha-2 code,Latitude (average),Longitude (average),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13,AT,47.3333,13.3333,11322.0,11711.0,11593.0,11760.0,12284.0,13480.0,14296.0,12997.0,12860.0,12383.0
20,BE,50.8333,4.0,2997.0,3246.0,3599.0,3784.0,4122.0,4044.0,3964.0,3935.0,3827.0,3956.0
34,BG,43.0,25.0,39115.0,51319.0,58504.0,58950.0,77375.0,83226.0,79621.0,77991.0,81528.0,82974.0
56,HR,45.1667,15.5,9939.0,11197.0,12608.0,24845.0,43843.0,57006.0,57155.0,52754.0,51222.0,42300.0
58,CY,35.0,33.0,247.0,369.0,560.0,923.0,931.0,827.0,888.0,864.0,464.0,402.0
59,CZ,49.75,15.5,6529.0,9031.0,10035.0,10984.0,12226.0,12665.0,11239.0,11191.0,10983.0,10702.0
60,DK,56.0,10.0,2305.0,2546.0,2590.0,2837.0,2662.0,2563.0,2622.0,2609.0,2724.0,2815.0
69,EE,59.0,26.0,1146.0,1441.0,1305.0,1367.0,1112.0,994.0,900.0,813.0,614.0,345.0
74,FI,64.0,26.0,1912.0,2167.0,2331.0,2366.0,2384.0,2396.0,2366.0,2340.0,2072.0,1880.0
75,FR,46.0,2.0,14142.0,14783.0,15581.0,16593.0,17307.0,16656.0,16928.0,16340.0,16205.0,16230.0
85,GR,39.0,22.0,12522.0,23779.0,34109.0,33379.0,30602.0,31528.0,30689.0,29788.0,29740.0,27225.0
100,HU,47.0,20.0,29220.0,41134.0,53892.0,58068.0,56439.0,55618.0,49220.0,45456.0,41286.0,34307.0
106,IE,53.0,-8.0,1486.0,1964.0,2097.0,2070.0,2196.0,2209.0,2352.0,2313.0,2540.0,2648.0
109,IT,42.8333,12.8333,24520.0,30152.0,42167.0,57523.0,70388.0,71505.0,63191.0,61147.0,62733.0,60755.0
123,LV,57.0,25.0,7595.0,10075.0,9233.0,8314.0,7356.0,6536.0,6522.0,7263.0,7214.0,6437.0
130,LT,56.0,24.0,6007.0,9817.0,9956.0,9053.0,8344.0,9617.0,9409.0,10009.0,11752.0,10038.0
131,LU,49.75,6.1667,2322.0,2412.0,2440.0,2745.0,2998.0,3387.0,3416.0,3195.0,3262.0,3460.0
159,NL,52.5,5.75,9418.0,9783.0,9988.0,10972.0,11427.0,11524.0,11306.0,10759.0,10754.0,10650.0
180,PL,52.0,20.0,114726.0,163412.0,176367.0,189109.0,190926.0,189768.0,159465.0,148478.0,142880.0,127845.0
181,PT,39.5,-8.0,6418.0,8213.0,11762.0,13646.0,11155.0,9872.0,9206.0,8369.0,7827.0,7574.0
185,RO,46.0,25.0,73852.0,94706.0,116154.0,134494.0,190931.0,212182.0,212172.0,219227.0,238178.0,229626.0
205,SK,48.6667,19.5,8434.0,11893.0,13593.0,14744.0,15283.0,14260.0,12152.0,11866.0,11444.0,11240.0
206,SI,46.0,15.0,1785.0,3210.0,5208.0,6434.0,6745.0,6925.0,5463.0,4564.0,3064.0,2880.0
212,ES,40.0,-4.0,13607.0,20672.0,29910.0,36511.0,34376.0,29629.0,26664.0,22363.0,22560.0,22815.0
218,SE,62.0,15.0,2552.0,2846.0,3113.0,3095.0,3320.0,3277.0,3088.0,3148.0,3324.0,3374.0
219,CH,47.0,8.0,4948.0,5303.0,5741.0,6074.0,6413.0,6402.0,6466.0,6396.0,6534.0,6247.0
239,GB,54.0,-2.0,10139.0,11248.0,12161.0,12362.0,12673.0,13116.0,13745.0,14879.0,15230.0,16152.0
