,,Suche nach Jobs vs. Anmeldungen
0,Griechenland,0.7997846325731145
0,Italien,0.8840073209294954
0,Portugal,0.5410041810113483
0,Spanien,0.3595138665520063
1,Griechenland,0.836062378474084
1,Italien,0.9355054702110845
1,Portugal,0.5739629659118085
1,Spanien,0.5280914734735186
2,Griechenland,0.7264333039891405
2,Italien,0.9314896214405088
2,Portugal,0.6289761180435544
2,Spanien,0.5521170634218207
3,Griechenland,0.5580851259342527
3,Italien,0.9030745478425016
3,Portugal,0.6823382658958556
3,Spanien,0.6250927522177245
4,Griechenland,0.4587908223554416
4,Italien,0.8179237319149418
4,Portugal,0.7018250769522245
4,Spanien,0.6279691056784105
5,Griechenland,0.27305491095149087
5,Italien,0.7211244373569768
5,Portugal,0.5794278863960268
5,Spanien,0.5584047269347167
6,Griechenland,0.1903489175841399
6,Italien,0.6003504330916407
6,Portugal,0.37386697098474647
6,Spanien,0.5704441986684576
7,Griechenland,0.06801124698891252
7,Italien,0.4660164831116242
7,Portugal,0.28304964455460696
7,Spanien,0.5063526255463091
8,Griechenland,-0.02715982055208547
8,Italien,0.3242784635801537
8,Portugal,0.05732184959988654
8,Spanien,0.45967353422944124
9,Griechenland,-0.05329825395995489
9,Italien,0.16031723987225754
9,Portugal,0.06763612665554522
9,Spanien,0.3932112918645918
10,Griechenland,-0.1343208774760126
10,Italien,0.01626239887684654
10,Portugal,-0.025833960649135686
10,Spanien,0.25528266672930017
11,Griechenland,-0.10950424881366579
11,Italien,-0.11150398721774103
11,Portugal,-0.08061256824236851
11,Spanien,0.1641100068863288
